dir_path	before	after
R:\アニメ\Sword Art Online Movie_Ordinal Scale_Eng	Sword Art Online Movie_Ordinal Scale_1of4_Eng.mp4	Sword Art-Eng Movie_Ordinal Scale_1of4_Eng.mp4
R:\アニメ\Sword Art Online Movie_Ordinal Scale_Eng	Sword Art Online Movie_Ordinal Scale_2of4_Eng.mp4	Sword Art-Eng Movie_Ordinal Scale_2of4_Eng.mp4
R:\アニメ\Sword Art Online Movie_Ordinal Scale_Eng	Sword Art Online Movie_Ordinal Scale_3of4_Eng.mp4	Sword Art-Eng Movie_Ordinal Scale_3of4_Eng.mp4
R:\アニメ\Sword Art Online Movie_Ordinal Scale_Eng	Sword Art Online Movie_Ordinal Scale_4of4_Eng.mp4	Sword Art-Eng Movie_Ordinal Scale_4of4_Eng.mp4
R:\アニメ\_-Eng\Fate Zero-Eng	Watch Fate Zero_#01 Online.mp4	Watch Fate Zero_#01-Eng.mp4
R:\アニメ\_-Eng\Fate Zero-Eng	Watch Fate Zero_#02 Online.mp4	Watch Fate Zero_#02-Eng.mp4
R:\アニメ\_-Eng\Fate Zero-Eng	Watch Fate Zero_#03 Online.mp4	Watch Fate Zero_#03-Eng.mp4
R:\アニメ\_-Eng\Fate Zero-Eng	Watch Fate Zero_#04 Online.mp4	Watch Fate Zero_#04-Eng.mp4
R:\アニメ\_-Eng\Fate Zero-Eng	Watch Fate Zero_#05 Online.mp4	Watch Fate Zero_#05-Eng.mp4
R:\アニメ\_-Eng\Fate Zero-Eng	Watch Fate Zero_#06 Online.mp4	Watch Fate Zero_#06-Eng.mp4
R:\アニメ\_-Eng\Fate Zero-Eng	Watch Fate Zero_#07 Online.mp4	Watch Fate Zero_#07-Eng.mp4
R:\アニメ\_-Eng\Fate Zero-Eng	Watch Fate Zero_#08 Online.mp4	Watch Fate Zero_#08-Eng.mp4
R:\アニメ\_-Eng\Fate Zero-Eng	Watch Fate Zero_#09 Online.mp4	Watch Fate Zero_#09-Eng.mp4
R:\アニメ\_-Eng\Fate Zero-Eng	Watch Fate Zero_#10 Online.mp4	Watch Fate Zero_#10-Eng.mp4
R:\アニメ\_-Eng\Fate Zero-Eng	Watch Fate Zero_#11 Online.mp4	Watch Fate Zero_#11-Eng.mp4
R:\アニメ\_-Eng\Fate Zero-Eng	Watch Fate Zero_#12 Online.mp4	Watch Fate Zero_#12-Eng.mp4
R:\アニメ\_-Eng\Fate Zero-Eng	Watch Fate Zero_#13 Online.mp4	Watch Fate Zero_#13-Eng.mp4
R:\アニメ\_-Eng\Fate Zero-Eng	Watch Fate Zero_#14 Online.mp4	Watch Fate Zero_#14-Eng.mp4
R:\アニメ\_-Eng\Fate Zero-Eng	Watch Fate Zero_#15 Online.mp4	Watch Fate Zero_#15-Eng.mp4
R:\アニメ\_-Eng\Fate Zero-Eng	Watch Fate Zero_#16 Online.mp4	Watch Fate Zero_#16-Eng.mp4
R:\アニメ\_-Eng\Fate Zero-Eng	Watch Fate Zero_#17 Online.mp4	Watch Fate Zero_#17-Eng.mp4
R:\アニメ\_-Eng\Fate Zero-Eng	Watch Fate Zero_#18 Online.mp4	Watch Fate Zero_#18-Eng.mp4
R:\アニメ\_-Eng\Fate Zero-Eng	Watch Fate Zero_#19 Online.mp4	Watch Fate Zero_#19-Eng.mp4
R:\アニメ\_-Eng\Fate Zero-Eng	Watch Fate Zero_#20 Online.mp4	Watch Fate Zero_#20-Eng.mp4
R:\アニメ\_-Eng\Fate Zero-Eng	Watch Fate Zero_#21 Online.mp4	Watch Fate Zero_#21-Eng.mp4
R:\アニメ\_-Eng\Fate Zero-Eng	Watch Fate Zero_#22 Online.mp4	Watch Fate Zero_#22-Eng.mp4
R:\アニメ\_-Eng\Fate Zero-Eng	Watch Fate Zero_#23 Online.mp4	Watch Fate Zero_#23-Eng.mp4
R:\アニメ\_-Eng\Fate Zero-Eng	Watch Fate Zero_#24 Online.mp4	Watch Fate Zero_#24-Eng.mp4
R:\アニメ\_-Eng\Fate Zero-Eng	Watch Fate Zero_#25 Online.mp4	Watch Fate Zero_#25-Eng.mp4
R:\アニメ\_-Eng\東のエデン_Eng	東のエデン_Eden of the East Episode 第01話_Eng.mp4	東のエデン_Eden of the East_#第01話_Eng.mp4
R:\アニメ\_-Eng\東のエデン_Eng	東のエデン_Eden of the East Episode 第02話_Eng.mp4	東のエデン_Eden of the East_#第02話_Eng.mp4
R:\アニメ\_-Eng\東のエデン_Eng	東のエデン_Eden of the East Episode 第03話_Eng.mp4	東のエデン_Eden of the East_#第03話_Eng.mp4
R:\アニメ\_-Eng\東のエデン_Eng	東のエデン_Eden of the East Episode 第04話_Eng.mp4	東のエデン_Eden of the East_#第04話_Eng.mp4
R:\アニメ\_-Eng\東のエデン_Eng	東のエデン_Eden of the East Episode 第05話_Eng.mp4	東のエデン_Eden of the East_#第05話_Eng.mp4
R:\アニメ\_-Eng\東のエデン_Eng	東のエデン_Eden of the East Episode 第06話_Eng.mp4	東のエデン_Eden of the East_#第06話_Eng.mp4
R:\アニメ\_-Eng\東のエデン_Eng	東のエデン_Eden of the East Episode 第07話_Eng.mp4	東のエデン_Eden of the East_#第07話_Eng.mp4
R:\アニメ\_-Eng\東のエデン_Eng	東のエデン_Eden of the East Episode 第08話_Eng.mp4	東のエデン_Eden of the East_#第08話_Eng.mp4
R:\アニメ\_-Eng\東のエデン_Eng	東のエデン_Eden of the East Episode 第09話_Eng.mp4	東のエデン_Eden of the East_#第09話_Eng.mp4
R:\アニメ\_-Eng\東のエデン_Eng	東のエデン_Eden of the East Episode 第10話_Eng.mp4	東のエデン_Eden of the East_#第10話_Eng.mp4
R:\アニメ\_-Eng\東のエデン_Eng	東のエデン_Eden of the East Episode 第11話_Eng.mp4	東のエデン_Eden of the East_#第11話_Eng.mp4
R:\アニメ\_MISC	STEREO 2013ver.  二人三脚  misono.mp4	STEREO 2013ver. 二人三脚 misono.mp4
R:\アニメ\_MISC	UVERworld   D technolife   Live.mp4	UVERworld  D technolife  Live.mp4
R:\アニメ\クビキリサイクル_Eng	Kubikiri Cycle Aoiro Savant to Zaregototsukai OVA 8  Watch anime online, English anime online.mp4	Kubikiri Cycle Aoiro Savant to Zaregototsukai OVA 8_Eng.mp4
R:\アニメ\四畳半神話大系	四畳半神話大系 Specials Episode 1_Eng.mp4	四畳半神話大系 Specials_#1_Eng.mp4
R:\アニメ\四畳半神話大系	四畳半神話大系 Specials Episode 2_Eng.mp4	四畳半神話大系 Specials_#2_Eng.mp4
R:\アニメ\四畳半神話大系	四畳半神話大系 Specials Episode 3_Eng.mp4	四畳半神話大系 Specials_#3_Eng.mp4
R:\アニメ\妹さえいればいい_Eng	Imouto sae Ireba Ii. Episode 3  Watch anime online, English anime online.mp4	Imouto sae Ireba Ii._#03_Eng.mp4
R:\アニメ\妹さえいればいい_Eng	Imouto sae Ireba Ii. Episode 4  Watch anime online, English anime online.mp4	Imouto sae Ireba Ii._#04_Eng.mp4
R:\アニメ\妹さえいればいい_Eng	Imouto sae Ireba Ii. Episode 5  Watch anime online, English anime online.mp4	Imouto sae Ireba Ii._#05_Eng.mp4
R:\アニメ\東のエデン	東のエデン_Eden of the East Episode 01 English Sub.mp4	東のエデン_Eden of the East_#01 English Sub.mp4
R:\アニメ\東のエデン	東のエデン_Eden of the East Episode 02 English Sub.mp4	東のエデン_Eden of the East_#02 English Sub.mp4
R:\アニメ\東のエデン	東のエデン_Eden of the East Episode 03 English Sub.mp4	東のエデン_Eden of the East_#03 English Sub.mp4
R:\アニメ\東のエデン	東のエデン_Eden of the East Episode 04 English Sub.mp4	東のエデン_Eden of the East_#04 English Sub.mp4
R:\アニメ\東のエデン	東のエデン_Eden of the East Episode 05 English Sub.mp4	東のエデン_Eden of the East_#05 English Sub.mp4
R:\アニメ\東のエデン	東のエデン_Eden of the East Episode 06 English Sub.flv	東のエデン_Eden of the East_#06 English Sub.flv
R:\アニメ\東のエデン	東のエデン_Eden of the East Episode 07 English Sub.flv	東のエデン_Eden of the East_#07 English Sub.flv
R:\アニメ\東のエデン	東のエデン_Eden of the East Episode 08 English Sub.mp4	東のエデン_Eden of the East_#08 English Sub.mp4
R:\アニメ\東のエデン	東のエデン_Eden of the East Episode 09 English Sub.mp4	東のエデン_Eden of the East_#09 English Sub.mp4
R:\アニメ\東のエデン	東のエデン_Eden of the East Episode 10 English Sub.flv	東のエデン_Eden of the East_#10 English Sub.flv
R:\アニメ\東のエデン	東のエデン_Eden of the East Episode 11 English Sub.mp4	東のエデン_Eden of the East_#11 English Sub.mp4
R:\アニメ\_MISC	Saikin Imouto no Yousu ga Chotto Okashiinda ga OVA _ Watch anime online, English anime online.mp4	Saikin Imouto no Yousu ga Chotto Okashiinda ga OVA.mp4
R:\アニメ\_MISC	Saki Biyori OVA _ Watch anime online, English anime online.mp4	Saki Biyori OVA.mp4
R:\アニメ\_MISC	UVERworld  D technolife  Live.mp4	UVERworld D technolife Live.mp4
R:\アニメ\クビキリサイクル_Eng	Kubikiri Cycle_ Aoiro Savant to Zaregototsukai OVA 7 _ Watch anime online, English anime online.mp4	Kubikiri Cycle_ Aoiro Savant to Zaregototsukai OVA 7.mp4
R:\アニメ\傷物語 冷血編_Eng	Kizumonogatari III- Reiketsu-hen (Movie) - Watch anime online, English anime online (1).mp4	Kizumonogatari III- Reiketsu-hen (Movie) (1).mp4
R:\アニメ\傷物語 冷血編_Eng	Kizumonogatari III- Reiketsu-hen (Movie) - Watch anime online, English anime online (2).mp4	Kizumonogatari III- Reiketsu-hen (Movie) (2).mp4
R:\アニメ\傷物語 冷血編_Eng	Kizumonogatari III- Reiketsu-hen (Movie) - Watch anime online, English anime online.mp4	Kizumonogatari III- Reiketsu-hen (Movie).mp4
C:\Users\works\yet\IC	Boku no Hero Academia 3rd Season Episode 12  Watch anime online, English anime online.mp4	Boku no Hero Academia 3rd Season_#12_Eng.mp4
C:\Users\works\yet\IC	Boku no Hero Academia 3rd Season Episode 13  Watch anime online, English anime online.mp4	Boku no Hero Academia 3rd Season_#13_Eng.mp4
